question_id,score,question
16,0,"['\nCo je to exponenciální časová složitost?\n'
 '\nCo je to exponenciální časová složitost?\n'
 '\nCo je to exponenciální časová složitost?\n'
 '\nCo je to exponenciální časová složitost?\n']"
45,0,"['\nJakou částku (už) žalovaný žalobkyni uhradil?\n'
 '\nJakou částku (už) žalovaný žalobkyni uhradil?\n'
 '\nJakou částku (už) žalovaný žalobkyni uhradil?\n'
 '\nJakou částku (už) žalovaný žalobkyni uhradil?\n']"
39,5,"['\nKolik titulů má soudce, který věc řešil?\n'
 '\nKolik titulů má soudce, který věc řešil?\n'
 '\nKolik titulů má soudce, který věc řešil?\n'
 '\nKolik titulů má soudce, který věc řešil?\n']"
19,9,"['\nJakou smlouvu spolu strany uzavřely?\n'
 '\nJakou smlouvu spolu strany uzavřely?\n'
 '\nJakou smlouvu spolu strany uzavřely?\n'
 '\nJakou smlouvu spolu strany uzavřely?\n']"
28,10,"['\nKdo tento soudní spor vyhrál?\n' '\nKdo tento soudní spor vyhrál?\n'
 '\nKdo tento soudní spor vyhrál?\n' '\nKdo tento soudní spor vyhrál?\n']"
41,10,"['\nKdo se chtěl rozvést s kým?\n' '\nKdo se chtěl rozvést s kým?\n'
 '\nKdo se chtěl rozvést s kým?\n' '\nKdo se chtěl rozvést s kým?\n']"
35,11,"['\nCo v tomto případu učinil žalovaný za právní kroky?\n'
 '\nCo v tomto případu učinil žalovaný za právní kroky?\n'
 '\nCo v tomto případu učinil žalovaný za právní kroky?\n'
 '\nCo v tomto případu učinil žalovaný za právní kroky?\n']"
0,13,"['\nKolik ústních jednání ve věci proběhlo?\n'
 '\nKolik ústních jednání ve věci proběhlo?\n'
 '\nKolik ústních jednání ve věci proběhlo?\n'
 '\nKolik ústních jednání ve věci proběhlo?\n']"
32,13,"['\nNa koho se soud v rozhodnutí odvolává?\n'
 '\nNa koho se soud v rozhodnutí odvolává?\n'
 '\nNa koho se soud v rozhodnutí odvolává?\n'
 '\nNa koho se soud v rozhodnutí odvolává?\n']"
38,14,"['\nJaký typ pojištění byl mezi stranami uzavřen?\n'
 '\nJaký typ pojištění byl mezi stranami uzavřen?\n'
 '\nJaký typ pojištění byl mezi stranami uzavřen?\n'
 '\nJaký typ pojištění byl mezi stranami uzavřen?\n']"
14,15,"['\nJakými dopravními prostředky cestovala žalovaná?\n'
 '\nJakými dopravními prostředky cestovala žalovaná?\n'
 '\nJakými dopravními prostředky cestovala žalovaná?\n'
 '\nJakými dopravními prostředky cestovala žalovaná?\n']"
42,16,"['\nProč se manželé rozvedli?\n' '\nProč se manželé rozvedli?\n'
 '\nProč se manželé rozvedli?\n' '\nProč se manželé rozvedli?\n']"
3,16,"['\nOhledně čeho spolu strany uzavřely pojištění?\n'
 '\nOhledně čeho spolu strany uzavřely pojištění?\n'
 '\nOhledně čeho spolu strany uzavřely pojištění?\n'
 '\nOhledně čeho spolu strany uzavřely pojištění?\n']"
20,16,"['\nKdo nesl ve věci důkazní břemeno?\n'
 '\nKdo nesl ve věci důkazní břemeno?\n'
 '\nKdo nesl ve věci důkazní břemeno?\n'
 '\nKdo nesl ve věci důkazní břemeno?\n']"
31,17,"['\nJaká úroková sazba byla mezi stranami sjednána?\n'
 '\nJaká úroková sazba byla mezi stranami sjednána?\n'
 '\nJaká úroková sazba byla mezi stranami sjednána?\n'
 '\nJaká úroková sazba byla mezi stranami sjednána?\n']"
9,17,"['\nJaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?\n'
 '\nJaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?\n'
 '\nJaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?\n'
 '\nJaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?\n']"
26,17,"['\nKde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?\n'
 '\nKde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?\n'
 '\nKde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?\n'
 '\nKde je stanovena denní sazbu příspěvku pojištění odpovědnosti při provozu osobního automobilu?\n']"
17,17,"['\nKteré zákony soud použil při svém rozhodování?\n'
 '\nKteré zákony soud použil při svém rozhodování?\n'
 '\nKteré zákony soud použil při svém rozhodování?\n'
 '\nKteré zákony soud použil při svém rozhodování?\n']"
33,18,"['\nJak dlouho jezdil žalovaný bez pojištění odpovědnosti?\n'
 '\nJak dlouho jezdil žalovaný bez pojištění odpovědnosti?\n'
 '\nJak dlouho jezdil žalovaný bez pojištění odpovědnosti?\n'
 '\nJak dlouho jezdil žalovaný bez pojištění odpovědnosti?\n']"
7,18,"['\nJaký typ právního výkladu soud zmiňuje v rozhodnutí?\n'
 '\nJaký typ právního výkladu soud zmiňuje v rozhodnutí?\n'
 '\nJaký typ právního výkladu soud zmiňuje v rozhodnutí?\n'
 '\nJaký typ právního výkladu soud zmiňuje v rozhodnutí?\n']"
