file_name,question,human_answer,llm_answer,score
1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání.", Ústavní jednání není řečeno v textech.,0.7206474542617798
968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč."," I. Je zaplatit 1 855,95 Kč

II. Zaplatit 1 489 Kč",0.6859692931175232
125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném.", Na základě závěru se žalobníkumily věnovat zaplacení předmětné částky peněz za podezření z ovlivnění návykovou látkou. Vyšetřovala přítomnost metamfetaminu a jeho metabolitu amfetaminu v krvi.,0.7081607580184937
829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla."," Účastníky uzavřely pojištění, o jejímž předchozím zákončím předpisů se účastníky podle § 115a zákon č. 99/1963 sb.",0.594183087348938
1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou."," Jak často bývá platná pojistná smlouva je odvětší, co se týká provedené dokazování. Dokazování může být proveden v souladu s § 3 zák. č. 168/1999 Sb., o pojištění odpovědnosti za škodu způsobenou provozem vozidla, který se stal závěrečným dokazem. To může být jednoduchý dokaz, provedení nebo jehož důkaz nemusí být platným, ale i provedením všech požadavků. To je jen jeden przyklad, jakým může být provedením dokazu a jakým nen.",0.5900876522064209
666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.", Přirážka k jízdnému ve výši 1 500 Kč.,0.8047862648963928
474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období."," Předání odpovědi: Žalovaný je povinen zaplatit ježí žalobky celkem celou částku 3 488 Kč ve výši 8,05 % ročně.",0.716099739074707
1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu."," Jaký typ právního výkladu ze strany sudy v rozhodnutí nepodporuje, je to úvětr. Jako takový výklad může být použito pouze u účastníkům.",0.6709259152412415
1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ)."," Výzva právního předchůdce žalobkyně žalovanému k okamžité úhradě dluhu ve výši 5 259 Kč, tj. ve výši ke dni [datum] je uvedeno zákonem 89/2012 Sb., občanský zákoník.",0.6918203234672546
1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.", Smlouvy o úvěru,0.7755556106567383
595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách."," Přiřážka lze stanovit v rozmezíme od 500 a 1500 Kč. Přiřážka je stanovena dopravcem, v případě, že je při porušení přepravních podmínek stanovena nejvýše.",0.7955344915390015
689.txt,"
Jak se vypočítá příspěvek za provozování vozidla?
","
Příspěvek se vypočítá jako součin počtu dní provozu vozidla a částky 34 Kč jakožto denní sazby.", Jak se vypočítá příspěvek za provozování vozidla? Příspěvek za provozování vozidla je žádaný zaplacení částky 1 598 Kč + dale za nákladů spojených s mimosoudním uplatněním práva na příspěvek bez pojištění odpovědnosti z provozu osobního vozidla žalovaným v období od _____ do _____ ve výši žádaných částek 34 Kč za denní sazby.,0.7257753610610962
1970.txt,"
Jak soud ve věci postupoval?
","
Soud nejprve vydal platební rozkaz, ale ten se nepodařilo žalované doručit, a tak jej zrušil usnesením. Poté projednal věc bez nařízení jednání, protože se účastníci tohoto práva vzdali. Soud provedl dokazování na základě listin ve spise."," Soud v Kladně vyrožil platební rozkaz, žalobkyni se však nepodařilo doručit do svých ruk. Soud poté projednal bez nařízení jednání a dokazoval listinám založenými ve spise. Dokazování provedl, že účastníci uzavřeli smlouvu a žalovaná nezaplatila pojistné výši [částka].",0.7782858610153198
949_2.txt,"
Které právní předpisy soud použil při rozhodování?
","
Soud použil občanský zákoník, energetických zákon a cenové rozhodnutí ERÚ"," Soud při rozhodování o pohledávce za předmětnou smlouvou podlal soud podle ustanovení §§ 497 Špicerovy zákoník, 1746 odst. 2 a ustanovení § 1828 a násl. zák. č. 89/2012 Sb., podle dopadajících ustanovení zák. č. 458/2000 Sb. a podle § 1968 a násl. zák. č. 89/2012 Sb., občanský zákoník.",0.6108889579772949
1898.txt,"
Jakými dopravními prostředky cestovala žalovaná?
","
Žalovaná cestovala autobusem MHD a trolejbusem MHD.", Předchůdcem žalované lince veřejné osobní dopravy číslo,0.6402868628501892
949.txt,"
Čeho se týkala smlouva mezi žalobkyní a žalovanou?
","
Smlouva se týkala dodávky zemního plynu do odběrného místa."," Pokúšal(a) se o zjištění, zda se měla týkať žalobě o zákazních poplatkách nebo o smlouvě o plynu.",0.7136155962944031
807.txt,"
Co je to exponenciální časová složitost?
","
Bohužel není možné odpovědět na základě poskytnutých informací, ty se týkají soudních rozhodnutí.", Větší časová složenost,0.5993214845657349
663.txt,"
Které zákony soud použil při svém rozhodování?
","
Soud postupoval podle občanského zákoníku a podle občanského soudního řádu."," § 2758 odst. 1 zákona č. 89/2012 Sb., § 2782 odst. 1 občanského zákoníku, § 1970 odst. 1 o. z., § 142 odst. 1 o s. ř. a § 14b odst. 5 vyhlášky č. 177/1996 Sb.",0.6157615184783936
697.txt,"
Jaké číslo má zákon, podle kterého soud postupoval?
","
Číslo zákona je 348/2005 Sb."," Neboť není zde uvedený, určuje se vědecký náčelt soudu.",0.6091750264167786
12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.", Předchozí smlouva se uzavřela o postoupení pohledávek ze zahraniční právnická osoba na zahraniční právnická osoba.,0.7102305889129639
450001.txt,"
Kdo nesl ve věci důkazní břemeno?
","
Důkazní břemeno přešlo na žalovanou, protože žalobkyně nemůže prokazovat, že žalovaná něco neučinila.", Žalovaná,0.66862553358078
449857.txt,"
Z jakých důkazů soud vyšel?
","
Zjištěné údaje o vozidle [registrační značka], druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 19.8.2020, předžalobní upomínka ze dne 24.11.2020, zjištěné údaje o vozidle [registrační značka], výzva k zaplacení dlužné částky ze dne 29.9.2022, předžalobní upomínka ze dne 29.11.2022, výzva k zaplacení dlužné částky ze dne 3.10.2022 včetně sledování zásilek, upomínka o úhradu nedoplatku ze dne 9.7.2022, výzva k úhradě příspěvku do garančního fondu ze dne 11.3.2022, upomínka o úhradu nedoplatku příspěvku do garančního fondu ze dne 11.2.2021."," Soud dostal dokazů o vozidle, druhá upomínka o úhradu nedoplatku příspěvku do garančního fondu, předžalobní upomínka, zjištěné údaje o vozidle, výzva k zaplacení dlužné částky, předžalobní upomínka ze dne 29.11.2022 a výzva k úhradě příspěvku do garančního fondu ze dne 11.2.2021.",0.8528904318809509
895.txt,"
Které měsíce žalovaný poplatek zaplatil?
","
Žalovaný zaplatil za leden až duben 2018.", Žalovaný poplatek zaplatil za měsíc leden 2018 až duben 2018.,0.8794496059417725
