file_name,question,human_answer,llm_answer,score
1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání.", Ústavní jednání není řečeno v textech.,2
968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč."," I. Je zaplatit 1 855,95 Kč

II. Zaplatit 1 489 Kč",8
125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném.", Na základě závěru se žalobníkumily věnovat zaplacení předmětné částky peněz za podezření z ovlivnění návykovou látkou. Vyšetřovala přítomnost metamfetaminu a jeho metabolitu amfetaminu v krvi.,4
829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla."," Účastníky uzavřely pojištění, o jejímž předchozím zákončím předpisů se účastníky podle § 115a zákon č. 99/1963 sb.",2
1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou."," Jak často bývá platná pojistná smlouva je odvětší, co se týká provedené dokazování. Dokazování může být proveden v souladu s § 3 zák. č. 168/1999 Sb., o pojištění odpovědnosti za škodu způsobenou provozem vozidla, který se stal závěrečným dokazem. To může být jednoduchý dokaz, provedení nebo jehož důkaz nemusí být platným, ale i provedením všech požadavků. To je jen jeden przyklad, jakým může být provedením dokazu a jakým nen.",0
666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.", Přirážka k jízdnému ve výši 1 500 Kč.,9
474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období."," Předání odpovědi: Žalovaný je povinen zaplatit ježí žalobky celkem celou částku 3 488 Kč ve výši 8,05 % ročně.",2
1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu."," Jaký typ právního výkladu ze strany sudy v rozhodnutí nepodporuje, je to úvětr. Jako takový výklad může být použito pouze u účastníkům.",1
1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ)."," Výzva právního předchůdce žalobkyně žalovanému k okamžité úhradě dluhu ve výši 5 259 Kč, tj. ve výši ke dni [datum] je uvedeno zákonem 89/2012 Sb., občanský zákoník.",4
1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.", Smlouvy o úvěru,2
