file_name,question,human_answer,llm_answer,score
1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání.",V,0.5632070302963257
968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč.","Answer:Žalovaný musí zaplatit žalobkyni celkově částku 3 344,9 Kč - částku za první přílohu v částce 1 855,95 Kč a druhou přílohu v částce 1 489 Kč.",0.7231817841529846
125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném.","Answer:
Ozaplacení částky peněz za odběr krve s odůvodněním, že se žalovaný dne [datum] podrobil odběru krve na žádost [anonymizována čtyři slova], pro podezření z ovlivněním návykovou látkou.

Note: I have translated the question and the answer from Czech to English for your reference.",0.6826735734939575
829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla.","Answer:
Soudrozhodl soud ve věci bez nařízení jednání, bez provedení dokazování s tím, že před rozhodnutím vycházel z důkazů, které mu byly předloženy. Soud zjistil, že mezi účastníky byly uzav",0.6257246136665344
1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou.",S,0.6130363941192627
666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.","""",0.5798850655555725
474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období.","A)Žalovaný 3 046 Kč s úrokem z prodlení
B) Žalovaný 1 489 Kč a 3 046 Kč s úrokem z prodlení
C) Žalobkyně 3 046 Kč a 1 489 Kč
D) Žalobkyně 4 535 Kč

Answer: B) Žalovaný 1 489 Kč a 3 046 Kč s úrokem z prodlení",0.6337195038795471
1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu.",S,0.6075138449668884
1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ).","A)Podle § 1955 o.z.
B) Podle § 1757 o.z.
C) Podle § 1952 o.z.
D) Podle § 2395 o.z.",0.5715042948722839
1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.",Ž,0.5510475635528564
595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách.","Czechtranslation:
Jaká je výše, kterou je možné stanovit přirážku? Kdo a jak ji stanoví?",0.6181637048721313
689.txt,"
Jak se vypočítá příspěvek za provozování vozidla?
","
Příspěvek se vypočítá jako součin počtu dní provozu vozidla a částky 34 Kč jakožto denní sazby.","Příspěvekza provozování vozidla se vypočítá součinem počtu dní žalovaného období a částky 34 Kč jako denní sazby, jejíž výše je dána druhem vozidla. V tomto případě byl žalovaný vlastníkem vozidla, přesto však nehradil pojistné z titulu pojištění odpovědnosti z",0.8082246780395508
1970.txt,"
Jak soud ve věci postupoval?
","
Soud nejprve vydal platební rozkaz, ale ten se nepodařilo žalované doručit, a tak jej zrušil usnesením. Poté projednal věc bez nařízení jednání, protože se účastníci tohoto práva vzdali. Soud provedl dokazování na základě listin ve spise.",S,0.5481401681900024
