file_name,question,human_answer,llm_answer,score
1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání."," Answer in Czech:

Žádného ústního jednání ve věci neproběhlo.",8
968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč."," Celkem by Žalovaný měl zaplatit 3 344,95 Kč (1 855,95 Kč + 1 489 Kč).",10
125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném."," O plátění částky 8 246 Kč, které bylo vyúčtované žalovanému jako kompenzace za údajnou újmu způsobenou ovlivněním návykovou látkou.",1
829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla.", Škody způsobené provozem vozidla.,2
1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou."," Pojistné bylo sjednáno na dobu neurčitou, ale hrazení pojistného pro příslušné pojistné období bylo sjednáno v jedné roční splátce.",7
666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.", Answer: 1 500 Kč,8
474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období.", Žalovaný musí zaplatit celkem 4 617 Kč (3 046 Kč + 1 523 Kč + 1 489 Kč).,1
1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu.", Gramatický a logický výklad.,9
1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ)."," Podle zákona č. 89/2012 Sb., občanský zákoník (dále jen ""o.z."").",8
1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.", Smlouva o úvěru.,1
595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách."," Answer:
Podle § 37 odst. 6 zák. č. 266/1994 Sb. může být přirážka stanovena až do výše 1 500 Kč. Dopravce stanoví výši přirážky v přepravních podmínkách.",10
689.txt,"
Jak se vypočítá příspěvek za provozování vozidla?
","
Příspěvek se vypočítá jako součin počtu dní provozu vozidla a částky 34 Kč jakožto denní sazby."," Příspěvek za provozování vozidla se vypočítá jako součin počtu dní období, ve kterém bylo vozidlo provozováno, a denní sazby, která činí 34 Kč pro osobní vozidlo se zdvihovým objemem válců motoru nad 1 350 cm³ do 1 850 cm³.",10
1970.txt,"
Jak soud ve věci postupoval?
","
Soud nejprve vydal platební rozkaz, ale ten se nepodařilo žalované doručit, a tak jej zrušil usnesením. Poté projednal věc bez nařízení jednání, protože se účastníci tohoto práva vzdali. Soud provedl dokazování na základě listin ve spise."," Okresní soud v Kladně svě chezel platební rozkaz, ale jeliko se nepodařilo doručit do rukou žalovaného, byla tato usnesením zrušena. Poté soud použil § 115a zákona č. 99/1963 Sb. a projednal věc bez nařízení jednání, protože účastníci se vzdali práva účasti na projednání věci. Soud provedl listinami",8
949_2.txt,"
Které právní předpisy soud použil při rozhodování?
","
Soud použil občanský zákoník, energetických zákon a cenové rozhodnutí ERÚ"," Soud použil ustanovení §§ 497, 1746 odst. 2 a ustanovení § 1828 a násl. zák. č. 89/2012 Sb., občanský zákoník, dále podle dopadajících ustanovení zák. č. 458/2000 Sb. o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změ",10
1898.txt,"
Jakými dopravními prostředky cestovala žalovaná?
","
Žalovaná cestovala autobusem MHD a trolejbusem MHD.", Žalovaná cestovala autobusem MHD a trolejbusem MHD.,10
