file_name,question,human_answer,llm_answer,score
807.txt,"
Co je to exponenciální časová složitost?
","
Bohužel není možné odpovědět na základě poskytnutých informací, ty se týkají soudních rozhodnutí.","
Exponenciální časová složitost je složitost algoritmu, která roste exponenciálně s velikostí vstupních dat.",1
125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném.","
Žalobkyně požaduje zaplacení předmětné částky peněz s odůvodněním, že se žalovaný dne [datum] podrobil odběru krve na žádost [anonymizována čtyři slova], pro podezření z ovlivnění návykovou látkou. Specifickým vyšetřením metodou plynové chromatografie s hmotnostní spektrometrií byla ve vzorku krve prokázána přítomnost metamfetaminu v koncentraci 12 ng/ml a jeho metabolitu amfetaminu v koncentraci 6 ng/ml. K vyšetření došlo v odštěpném závodě žalobkyně v [anonymizována dvě slova] v [obec], o. z. Na základě výsledků byla žalovanému vystavena faktura [číslo] dne [datum], která mu byla zaslána poštou. Touto fakturou byla vyúčtována částka 8 246 Kč. Podle následných emailů se faktura dostala do dispozice žalovaného. Faktura byla žalovanému zaslána také jako příloha předžalobní výzvy dne [datum].",10
949.txt,"
Čeho se týkala smlouva mezi žalobkyní a žalovanou?
","
Smlouva se týkala dodávky zemního plynu do odběrného místa.","
Smlouva o dodávce zemního plynu.",5
1898.txt,"
Jakými dopravními prostředky cestovala žalovaná?
","
Žalovaná cestovala autobusem MHD a trolejbusem MHD.","
Žalovaná cestovala trolejbusem MHD.",5
1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání.","
Jedno.",1
12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.","
Smlouvu o revolvingovém úvěru.",5
968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč.","
Žalovaný musí zaplatit žalobkyni celkem 3 344,95 Kč.",10
666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.","
Přirážka k jízdnému činila 1 500 Kč.",8
1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu.","
Soud zmiňuje gramatický a logický výklad.",10
949_2.txt,"
Které právní předpisy soud použil při rozhodování?
","
Soud použil občanský zákoník, energetických zákon a cenové rozhodnutí ERÚ","
Soud při rozhodování o pohledávce za předmětnou smlouvou postupoval soud podle ustanovení §§ 497, 1746 odst. 2 a ustanovení § 1828 a násl. zák. č. 89/2012 Sb. občanský zákoník (dále jen o.z.), dále podle dopadajících ustanovení zák. č. 458/2000 Sb. o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon) ve spojení s dopadajícími ustanoveními cenového rozhodnutí ERU pro daná období, podle samotného smluvního ujednání účastníků a podle ustanovení § 1968 a násl. o.z. Soud žalobě jako důvodné vyhověl a a žalované uložil dlužnou částku, zákonný úrok z prodlení a poplatky za výzvy k zaplacení k rukám žalobkyně zaplatit (výrok sub. I).",10
829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla.","
Pojištění odpovědnosti za škodu způsobenou provozem vozidla.",10
1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ).","
Podle občanského zákoníku.",5
697.txt,"
Jaké číslo má zákon, podle kterého soud postupoval?
","
Číslo zákona je 348/2005 Sb.","
Zákon č. 348/2005 Sb.",10
663.txt,"
Které zákony soud použil při svém rozhodování?
","
Soud postupoval podle občanského zákoníku a podle občanského soudního řádu.","
Soud použil zákon č. 89/2012 Sb., občanský zákoník, a zákon o soudních poplatcích.",4
1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.","
Žalobkyně a žalovaný uzavřeli smlouvu o úvěru.",9
1970.txt,"
Jak soud ve věci postupoval?
","
Soud nejprve vydal platební rozkaz, ale ten se nepodařilo žalované doručit, a tak jej zrušil usnesením. Poté projednal věc bez nařízení jednání, protože se účastníci tohoto práva vzdali. Soud provedl dokazování na základě listin ve spise.","
Soud projednal věc bez nařízení jednání, když účastníci se práva účasti na projednání věci v zákoně předepsaným způsobem vzdali.",3
474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období.","
Žalovaný musí zaplatit žalobkyni celkem 4 535 Kč.",5
689.txt,"
Jak se vypočítá příspěvek za provozování vozidla?
","
Příspěvek se vypočítá jako součin počtu dní provozu vozidla a částky 34 Kč jakožto denní sazby.","
Příspěvek za provozování vozidla se vypočítá jako součin počtu dní období a denní sazby, která je dána druhem vozidla.",4
1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou.","
Pojistné mělo být placeno v jedné roční splátce.",10
595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách.","
Výše přirážky nesmí přesáhnout částku 1 500 Kč. Přirážku stanoví dopravce v přepravních podmínkách.",10
454304.txt,"
Kolik požadovala žalobkyně a kolik jí soud přiznal?
","
Soud přiznal žalobkyni částku 129 328,71 Kč se zákonným úrokem z prodlení ve výši 7,75% ročně z částky 105 049,77 Kč. Žalobkyně navíc požadovala zaplacení úroku ve výši 14,2 % ročně z částky 102 232,13 Kč od [datum] do zaplacení a zákonného úroku z prodlení ve výši 7,75 % ročně z částky 10 603,36 Kč od [datum] do zaplacení.","
Žalobkyně požadovala 129 328,71 Kč a soud jí přiznal 129 328,71 Kč.",2
1925.txt,"
Jak se jmenuje společnost, která poskytla spotřebitelský úvěr?
","
Provident","
Provident Financial s.r.o.",10
454305.txt,"
Jakým způsobem se žalovaný bránil proti žalobě?
","
Žalovaný se vůbec nevyjádřil.","
Žalovaný se k žalobě nevyjádřil.",10
449893.txt,"
O jakou neplatnost smlouvy se v tomto případě jednalo?
","
Neplatnost absolutní.","
Smlouva o spotřebitelském úvěru byla neplatná pro rozpor se zákonem (§ 588 o. z.) a současně (zejména pro uvedené širší možné dopady porušení této povinnosti) zjevně narušuje veřejný pořádek.",2
449892.txt,"
Jakou částku (už) žalovaný žalobkyni uhradil?
","
Žalovaný neuhradil žádnou částku, proto byl žalován.","
Žalovaný žalobkyni uhradil částku 60 379,32 Kč.",1
449644.txt,"
Kdo tento soudní spor vyhrál?
","
Vyhrála žalobykně, byť jen částečně (soud část žaloby zamítl).","
Žalobkyně vyhrála.",5
450226.txt,"
Kolik titulů má soudce, který věc řešil?
","
Má 2 tituly: Mgr. a Bc.","
Soudce má 2 tituly.",2
454274.txt,"
Podle jakých zákonů soud věc posoudil?
","
Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (dále jen„ OZ“).","
Soud věc posoudil podle zákona č. 458/2000 Sb., o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení se zákonem č. 89/2012 Sb., občanský zákoník (dále jen„ OZ“).",10
