step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.91695,0.77778,1.33291,0.72
2,0.5802,0.89189,2.1849,0.54286
3,1.40749,0.8,1.50783,0.65625
4,2.03816,0.78947,0.57892,0.76923
5,0.09267,0.98621,0.93608,0.66667
6,2.35607,0.7,1.51146,0.65625
7,1.72891,0.77083,1.01637,0.68
8,1.6008,0.76667,1.68429,0.42857
9,1.39674,0.75,1.3594,0.75
10,1.49746,0.7619,2.20115,0.61111
11,2.27255,0.64286,0.52866,0.6
12,1.3231,0.86364,0.52764,0.725
13,2.14079,0.6,0.77903,0.68421
14,1.88486,0.6087,0.81219,0.64865
15,0.23817,0.92353,0.12424,0.70968
16,0.2773,0.91176,0.80166,0.68627
17,0.83399,0.82609,1.3921,0.5102
18,0.88388,0.81818,0.62376,0.64583
19,0.37264,0.90476,0.74969,0.65385
20,0.73722,0.8,0.51832,0.54545
21,0.10493,0.95833,1.04841,0.66
22,2.54975,0.4,1.26647,0.6
23,0.39631,0.90385,0.26948,0.6875
24,0.85485,0.70588,0.11972,0.80769
25,1.02769,0.77778,0.69724,0.66667
26,0.87598,0.70588,0.84888,0.65625
27,0.33883,0.89655,0.67025,0.68
28,0.49441,0.82759,1.00575,0.52381
29,0.13623,0.95,0.42181,0.83333
30,0.0227,1.0,1.01287,0.66667
31,0.13989,0.97059,0.28765,0.62857
32,0.02594,0.9931,0.40228,0.725
33,0.75781,0.85185,0.25971,0.78947
34,0.61907,0.82353,0.54956,0.7027
35,0.39111,0.86207,0.12782,0.70968
36,0.5556,0.89474,0.62904,0.70588
37,0.31391,0.86207,1.24119,0.5102
38,0.70422,0.76471,0.43781,0.70833
39,1.47873,0.62857,0.5788,0.73077
40,1.13043,0.8125,0.43835,0.61364
41,0.60465,0.83333,1.02828,0.66
42,0.31882,0.88636,1.14839,0.62857
43,0.21112,0.9,0.26776,0.71875
44,0.36177,0.88889,0.14814,0.76923
45,0.56474,0.91304,0.69112,0.66667
46,1.18469,0.78261,0.86884,0.6875
47,0.33354,0.92857,0.62533,0.72
48,0.10404,0.94595,1.01316,0.52381
49,0.05371,1.0,0.37835,0.83333
50,0.28159,0.88462,0.96083,0.66667
51,0.33614,0.95,0.30674,0.62857
52,0.08573,1.0,0.42872,0.725
53,0.74072,0.825,0.26621,0.78947
54,1.03804,0.71429,0.52479,0.7027
55,0.48101,0.81818,0.14613,0.70968
56,0.23364,0.92353,0.62898,0.69608
57,0.38766,0.9,1.21171,0.53061
58,0.19988,0.97619,0.43414,0.6875
59,0.89244,0.8,0.55761,0.73077
60,0.01723,1.0,0.43614,0.61364
61,0.5366,0.82353,0.99638,0.66
62,0.21254,0.89655,1.11689,0.62857
63,0.57168,0.85185,0.23123,0.71875
64,0.01517,1.0,0.12258,0.80769
65,0.07471,0.94595,0.67644,0.66667
66,0.18125,1.0,0.77879,0.65625
67,0.39813,0.86364,0.64428,0.72
68,0.20617,0.92353,0.98813,0.52381
69,0.97981,0.83333,0.36271,0.83333
70,1.06084,0.82609,1.02752,0.66667
71,0.34765,0.95,0.27854,0.62857
72,0.47049,0.89474,0.37504,0.725
73,0.24983,0.90909,0.25118,0.78947
74,0.30628,0.89655,0.52474,0.7027
75,0.45203,0.88235,0.10301,0.74194
76,0.05146,1.0,0.61819,0.69608
77,0.36023,0.91304,1.20876,0.53061
78,0.3258,0.88889,0.42573,0.6875
79,0.8876,0.75,0.57299,0.73077
80,0.28028,0.95,0.44033,0.61364
81,0.63832,0.825,1.00868,0.66
82,0.46018,0.86667,1.08618,0.65714
83,0.66833,0.8,0.22499,0.75
84,0.22619,0.88462,0.10434,0.80769
85,0.04545,1.0,0.66203,0.66667
86,0.11964,0.97059,0.79571,0.65625
87,0.18785,0.97619,0.64496,0.72
88,0.02036,0.9931,0.98663,0.52381
89,1.39535,0.62857,0.35282,0.83333
90,0.28606,0.92857,1.0014,0.66667
