file_name,question,human_answer,llm_answer,score
1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání.","Z textu rozhodnutí není možné zjistit, kolik ústních jednání ve věci proběhlo.",0
968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč.","Žalovaný musí zaplatit žalobkyni celkem 1 855,95 Kč do tří dnů od právní moci tohoto rozsudku.",0
125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném.","V této věci se vedl spor o zaplacení předmětné částky peněz, kterou žalobkyně požadovala od žalovaného za provedení odběru krve a následné vyšetření, které prokázalo přítomnost metamfetaminu a jeho metabolitu v krvi žalovaného.",1
829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla.","Strany uzavřely pojištění odpovědnosti za škodu způsobenou provozem vozidla tovární značky [anonymizována dvě slova], [registrační značka] a pojištění odpovědnosti za škodu způsobenou provozem vozidla tovární značky [příjmení] [jméno], [registrační značka].",1
1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou.",Pojistné mělo být placeno jednou ročně.,1
666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.",Podle uvedené části rozsudku činila přirážka k jízdnému při jízdě načerno 1 500 Kč.,1
474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období.","Žalovaný musí zaplatit žalobkyni celkem částku 3 046 Kč s úrokem z prodlení ve výši 8,05 % ročně z částky 1 523 Kč od [datum] do zaplacení. Dále musí zaplatit žalobkyni náhradu nákladů řízení v částce 1 489 Kč. Celková částka, kterou žalovaný musí zaplatit, je tedy 4 535 Kč.",1
1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu.","Soud v rozhodnutí zmiňuje gramatický a logický výklad § 9 odst. 1 zákona o spotřebitelském úvěru. Podle tohoto výkladu není dostatečné získat informace pouze od spotřebitele, ale je nutné ověřit a objektivně podložit tyto informace. Soud také zdůrazňuje, že věřitel by měl využívat veřejně dostupné informace, jako jsou údaje o životním a existenčním minimu, a porovnávat je se známými informacemi o příjmech a výdajích spotřebitele.",1
1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ).","Soud věc posoudil podle § 2395 zákona č. 89/2012 Sb., občanský zákoník (dále jen „o.z.“). Tento zákon stanovuje, že smlouvou o úvěru se úvěrující zavazuje poskytnout úvěrovanému peněžní prostředky do určité částky na jeho požádání a v jeho prospěch, zatímco úvěrovaný se zavazuje vrátit poskytnuté peněžní prostředky a zaplatit úroky.",1
1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.",Žalobkyně a žalovaný uzavřeli smlouvu o úvěru.,1
595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách.",Výši přirážky stanoví dopravce v přepravních podmínkách. Přirážka za porušení podmínek stanovených přepravním řádem činí nejvýše 1 500 Kč.,1
689.txt,"
Jak se vypočítá příspěvek za provozování vozidla?
","
Příspěvek se vypočítá jako součin počtu dní provozu vozidla a částky 34 Kč jakožto denní sazby.","Příspěvek za provozování vozidla se vypočítá jako součin počtu dní žalovaného období a denní sazby. Denní sazba je stanovena na částku 34 Kč a je určena druhem vozidla, v tomto případě osobního vozidla se zdvihovým objemem válců motoru nad 1 350 cm³ do 1 850 cm³.",1
1970.txt,"
Jak soud ve věci postupoval?
","
Soud nejprve vydal platební rozkaz, ale ten se nepodařilo žalované doručit, a tak jej zrušil usnesením. Poté projednal věc bez nařízení jednání, protože se účastníci tohoto práva vzdali. Soud provedl dokazování na základě listin ve spise.","Soud ve věci postupoval tak, že žalobkyně předložila do spisu několik důkazů, včetně pojistné smlouvy, vyúčtování pojistné smlouvy, pokusu o smír, oznámení o zániku pojistné smlouvy, sazebníku poplatků a předžalobní výzvy. Okresní soud vydal platební rozkaz, kterým vyhověl žalobkyni, ale protože se nepodařilo doručit platební rozkaz žalované do vlastních rukou, byl zrušen. Soud poté projednal věc bez nařízení jednání, protože účastníci se práva účasti na projednání věci vzdali. Soud vzal za prokázané, že účastníci uzavřeli smlouvu, podle které žalovaná měla platit řádně pojistné. Žalovaná však řádně neplatila a pojistná smlouva zanikla ke dni [datum]. Žalovaná dlužila pojistné ve výši [částka] do konce pojistného období a nezaplatila ho ani na základě upomínky a předžalobní výzvy.",1
949_2.txt,"
Které právní předpisy soud použil při rozhodování?
","
Soud použil občanský zákoník, energetických zákon a cenové rozhodnutí ERÚ","Soud při rozhodování použil následující právní předpisy:
- Občanský zákoník (zákon č. 89/2012 Sb.), konkrétně §§ 497, 1746 odst. 2 a § 1828 a násl.
- Zákon č. 458/2000 Sb. o podmínkách podnikání a o výkonu státní správy v energetických odvětvích a o změně některých zákonů (energetický zákon), ve spojení s dopadajícími ustanoveními cenového rozhodnutí ERU pro daná období
- § 1968 a násl. občanského zákoníku.",1
1898.txt,"
Jakými dopravními prostředky cestovala žalovaná?
","
Žalovaná cestovala autobusem MHD a trolejbusem MHD.",Žalovaná cestovala vozidlem na právním předchůdcem žalobce provozované lince veřejné osobní dopravy.,0
949.txt,"
Čeho se týkala smlouva mezi žalobkyní a žalovanou?
","
Smlouva se týkala dodávky zemního plynu do odběrného místa.",Smlouva mezi žalobkyní a žalovanou se týkala dodávky zemního plynu. Žalobkyně dodala žalované plyn do odběrného místa. Dodávka plynu zůstala nezaplacená v částce 1 124 Kč za období od [datum] do [datum]. Dlužná částka byla splatná dne [datum]. Žalovaná dále nezaplatila dodávku plynu za období od [datum] do [datum] v částce 594 Kč. Dlužná částka byla splatná dne [datum]. Vedle toho žalobkyně vyúčtovala smluvené poplatky za výzvy k zaplacení ve výši 300 Kč celkem.,1
807.txt,"
Co je to exponenciální časová složitost?
","
Bohužel není možné odpovědět na základě poskytnutých informací.","Exponenciální časová složitost je matematický termín, který se používá k popisu algoritmů nebo výpočetních problémů, jejichž časová složitost roste exponenciálně s velikostí vstupních dat. To znamená, že čím větší jsou vstupní data, tím déle trvá algoritmu nebo problému vyřešit. V tomto konkrétním případě se však nejedná o exponenciální časovou složitost, ale o právní posouzení smluvních povinností a nároků žalobce na odměnu za poskytnutou právní službu.",0
663.txt,"
Které zákony soud použil při svém rozhodování?
","
Soud postupoval podle občanského zákoníku a podle občanského soudního řádu.","Soud při svém rozhodování použil následující zákony:

- Zákon č. 89/2012 Sb., občanský zákoník, konkrétně § 2758 odst. 1, který stanoví, že pojistitel se zavazuje poskytnout pojistníkovi nebo třetí osobě pojistné plnění v případě nastání pojistné události.
- Zákon č. 89/2012 Sb., občanský zákoník, konkrétně § 2782 odst. 1, který stanoví, že pojistitel má právo na pojistné za dobu trvání pojištění.
- Zákon č. 89/2012 Sb., občanský zákoník, konkrétně § 1970, který stanoví, že věřitel, který řádně splnil své povinnosti, může požadovat zaplacení úroku z prodlení od dlužníka, který je v prodlení se splácením peněžitého dluhu.

Těmito zákony soud posoudil věc po právní stránce.",1
697.txt,"
Jaké číslo má zákon, podle kterého soud postupoval?
","
Číslo zákona je 348/2005 Sb.","Zákon, podle kterého soud postupoval, je zákon č. 348/2005 Sb.",1
12521.txt,"
Jakou smlouvu spolu strany uzavřely?
","
Strany spolu uzavřely smlouvu o revolvingovém/spotřebitelském úvěru.",Strany uzavřely smlouvu o postoupení pohledávek.,0
