file_name,question,human_answer,llm_answer,score
1927.txt,"
Kolik ústních jednání ve věci proběhlo?
","
Ve věci žádné ústní jednání neproběhlo, účastníci souhlasi s rozhodnutím bez nařízení ústního jednání."," Answer in Czech:

Žádného ústního jednání ve věci neproběhlo.",0.7309988141059875
968.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 3344,95 Kč."," Celkem by Žalovaný měl zaplatit 3 344,95 Kč (1 855,95 Kč + 1 489 Kč).",0.765364944934845
125.txt,"
O co se v této věci vedl spor? (jednou větou)
","
Žalobkyně požadavala zaplacení částky za odběr krve po žalovaném."," O plátění částky 8 246 Kč, které bylo vyúčtované žalovanému jako kompenzace za údajnou újmu způsobenou ovlivněním návykovou látkou.",0.6755325198173523
829.txt,"
Ohledně čeho spolu strany uzavřely pojištění?
","
Šlo o pojištění odpovědnosti za škodu způsobenou provozem vozidla.", Škody způsobené provozem vozidla.,0.842772901058197
1912.txt,"
Jak často mělo být placeno pojistné?
","
Pojistné bylo sjednáno s jednou roční splátkou."," Pojistné bylo sjednáno na dobu neurčitou, ale hrazení pojistného pro příslušné pojistné období bylo sjednáno v jedné roční splátce.",0.8271779417991638
666.txt,"
Kolik činila přirážka k jízdnému při jízdě načerno?
","
Jednorázová přirážka je 1 500 Kč.", Answer: 1 500 Kč,0.7753580808639526
474.txt,"
Kdo a kolik celkem musí zaplatit?
","
Platit musí žalovaný a to celkem 4535 Kč + úrok z prodlení z částky 1523 za 2 nespecifikovaná období.", Žalovaný musí zaplatit celkem 4 617 Kč (3 046 Kč + 1 523 Kč + 1 489 Kč).,0.7317796349525452
1952.txt,"
Jaký typ právního výkladu soud zmiňuje v rozhodnutí?
","
Soud hovoří o gramatickém a logickém výkladu.", Gramatický a logický výklad.,0.8001449108123779
1988_2.txt,"
Podle jakého zákona soud věc posoudil?
","
Soud věc posoudil podle zákona č. 89/2012 Sb., občanského zákoníku (OZ)."," Podle zákona č. 89/2012 Sb., občanský zákoník (dále jen ""o.z."").",0.7878156900405884
1988.txt,"
Jaký typ smlouvy spolu uzavřeli žalobkyně a žalovaný?
","
Žalobkyně a žalovaný spolu uzavřeli smlouvu o úvěru.", Smlouva o úvěru.,0.7978146076202393
595.txt,"
V jaké výši je možné stanovit přiřážku? Kdo a jak ji stanoví?
","
Přirážka může být maximálně 1 500 Kč a stanovena je dopravcem v přepravních podmínkách."," Answer:
Podle § 37 odst. 6 zák. č. 266/1994 Sb. může být přirážka stanovena až do výše 1 500 Kč. Dopravce stanoví výši přirážky v přepravních podmínkách.",0.7809581756591797
